Extraction des impliquants premiers
T: Déjà Traité  P: Premier  A: en attente

Groupage N°1
T 00-00101011
T 0-000101011
T -0000101011
T 000001011-1
T 000001-1101
T 0000-101101
T 000-0101101
T 00-00101101
T 0-000101101
T -0000101101
T 00000110-11
T 0000011-011
T 0000-110011
T 000-0110011
T 00-00110011
T 0-000110011
T -0000110011
T 000001101-1
T 0000011-101
T 0000-110101
T 000-0110101
T 00-00110101
T 0-000110101
T -0000110101
T 000001110-1
T 00000111-01
T 0000-111001
T 000-0111001
T 00-00111001
T 0-000111001
T -0000111001
T 0000100-111
T 000010-0111
T 00001-00111
T 000-1000111
T 00-01000111
T 0-001000111
T -0001000111
T 00001001-11
T 000010-1011
T 00001-01011
T 000-1001011
T 00-01001011
T 0-001001011
T -0001001011
T 000010011-1
T 000010-1101
T 00001-01101
T 000-1001101
T 00-01001101
T 0-001001101
T -0001001101
T 00001010-11
T 0000101-011
T 00001-10011
T 000-1010011
T 00-01010011
T 0-001010011
T -0001010011
T 000010101-1
T 0000101-101
T 00001-10101
T 000-1010101
T 00-01010101
T 0-001010101
T -0001010101
T 000010110-1
T 00001011-01
T 00001-11001
T 000-1011001
T 00-01011001
T 0-001011001
T -0001011001
T 00001100-11
T 0000110-011
T 000011-0011
T 000-1100011
T 00-01100011
T 0-001100011
T -0001100011
T 000011001-1
T 0000110-101
T 000011-0101
T 000-1100101
T 00-01100101
T 0-001100101
T -0001100101
T 000011010-1
T 00001101-01
T 000011-1001
T 000-1101001
T 00-01101001
T 0-001101001
T -0001101001
T 000011100-1
T 00001110-01
T 0000111-001
T 000-1110001
T 00-01110001
T 0-001110001
T -0001110001
T 0001000-111
T 000100-0111
T 00010-00111
T 0001-000111
T 00-10000111
T 0-010000111
T -0010000111
T 00010001-11
T 000100-1011
T 00010-01011
T 0001-001011
T 00-10001011
T 0-010001011
T -0010001011
T 000100011-1
T 000100-1101
T 00010-01101
T 0001-001101
T 00-10001101
T 0-010001101
T -0010001101
T 00010010-11
T 0001001-011
T 00010-10011
T 0001-010011
T 00-10010011
T 0-010010011
T -0010010011
T 000100101-1
T 0001001-101
T 00010-10101
T 0001-010101
T 00-10010101
T 0-010010101
T -0010010101
T 000100110-1
T 00010011-01
T 00010-11001
T 0001-011001
T 00-10011001
T 0-010011001
T -0010011001
T 00010100-11
T 0001010-011
T 000101-0011
T 0001-100011
T 00-10100011
T 0-010100011
T -0010100011
T 000101001-1
T 0001010-101
T 000101-0101
T 0001-100101
T 00-10100101
T 0-010100101
T -0010100101
T 000101010-1
T 00010101-01
T 000101-1001
T 0001-101001
T 00-10101001
T 0-010101001
T -0010101001
T 000101100-1
T 00010110-01
T 0001011-001
T 0001-110001
T 00-10110001
T 0-010110001
T -0010110001
T 00011000-11
T 0001100-011
T 000110-0011
T 00011-00011
T 00-11000011
T 0-011000011
T -0011000011
T 000110001-1
T 0001100-101
T 000110-0101
T 00011-00101
T 00-11000101
T 0-011000101
T -0011000101
T 000110010-1
T 00011001-01
T 000110-1001
T 00011-01001
T 00-11001001
T 0-011001001
T -0011001001
T 000110100-1
T 00011010-01
T 0001101-001
T 00011-10001
T 00-11010001
T 0-011010001
T -0011010001
T 000111000-1
T 00011100-01
T 0001110-001
T 000111-0001
T 00-11100001
T 0-011100001
T -0011100001
T 0010000-111
T 001000-0111
T 00100-00111
T 0010-000111
T 001-0000111
T 0-100000111
